Name;Age;Nationality;Club;Value;Preferred Foot;Position;Jersey Number;BallControl;Acceleration;SprintSpeed;Agility;Aggression;Interceptions
F. Medina;19;Argentina;Club Atlético Talleres;€475K;Left;Lateral;30;59;71;70;63;57;56
D. Anyembe;19;Denmark;Esbjerg fB;€375K;Right;Lateral;40;59;82;87;75;45;53
Meseguer;18;Spain;Rayo Vallecano;€450K;Left;Lateral;33;51;67;62;59;51;59
C. Roberts;21;England;Newcastle United;€450K;Left;Centrocampista;37;61;74;68;59;40;22
O. Rommens;23;Belgium;NAC Breda;€290K;Right;Centrocampista;19;62;66;67;76;54;55
J. Robinson;24;United States;DC United;€290K;Right;Defensa;20;43;68;75;41;62;59
B. Collins;21;England;Burton Albion;€300K;Right;Portero;40;27;41;45;33;20;20
R. Torres;21;Mexico;Tigres U.A.N.L.;€400K;Right;Centrocampista;16;65;66;65;63;64;61
J. Méndez;20;Argentina;Argentinos Juniors;€550K;Right;Centrocampista;14;70;67;72;66;48;33
W. Bracamonte;20;Argentina;Unión de Santa Fe;€450K;Right;Centrocampista;15;63;71;74;73;40;24
I. Pedrelli;32;Italy;Livorno;€140K;Right;Lateral;9;65;53;56;48;65;52
Kim Jong Min;25;Korea Republic;Suwon Samsung Bluewings;€325K;Right;Delantero;18;57;64;67;68;37;17
E. Nolan;29;Republic of Ireland;Crewe Alexandra;€200K;Right;Defensa;12;55;68;64;70;60;57
M. Cortés;21;Colombia;Jaguares de Córdoba;€475K;Right;Centrocampista;11;59;77;78;68;55;42
R. Hunt;22;England;Oldham Athletic;€325K;Right;Lateral;23;60;76;73;70;51;57
C. Dyson;21;England;Plymouth Argyle;€375K;Right;Delantero;18;61;63;48;64;60;24
P. O'Connor;20;Republic of Ireland;Blackpool;€375K;Right;Defensa;5;40;53;55;51;76;59
N. Beyer;21;Germany;FSV Zwickau;€350K;Right;Defensa;36;44;47;52;52;65;53
F. Gattoni;19;Argentina;San Lorenzo de Almagro;€500K;Right;Defensa;24;59;65;68;44;50;64
J. Ayala;27;Mexico;Boyacá Chicó FC;€210K;Right;Lateral;3;58;67;68;58;57;58
Oh Se Hun;19;Korea Republic;Ulsan Hyundai FC;€475K;Right;Delantero;39;60;49;65;56;64;24
A. Donkor;20;Germany;FC Hansa Rostock;€550K;Right;Centrocampista;15;61;72;75;64;41;26
S. Condé;25;Guinea;La Berrichonne de Châteauroux;€280K;Right;Defensa;17;42;54;47;42;57;56
A. Nicholls;30;England;Crewe Alexandra;€240K;Right;Delantero;14;56;78;76;78;64;23
H. Souttar;19;Scotland;Stoke City;€500K;Right;Defensa;36;60;40;40;58;49;59
Kim Min Tae;24;Korea Republic;Hokkaido Consadole Sapporo;€290K;Right;Defensa;20;63;68;73;58;51;60
E. Cicerelli;23;Italy;Foggia;€325K;Right;Centrocampista;17;65;65;68;66;31;31
T. Miller;28;England;Bury;€200K;Right;Centrocampista;2;58;63;51;67;66;58
J. Trtovac;31;Serbia;BB Erzurumspor;€170K;Right;Defensa;4;34;58;50;44;48;51
J. Sterry;22;England;Newcastle United;€325K;Right;Lateral;25;57;70;68;65;78;60
H. Al Shuwaysh;29;Saudi Arabia;Al Raed;€200K;Left;Defensa;33;53;45;42;58;60;56
A. Andersson;21;Sweden;BK Häcken;€350K;Right;Lateral;28;65;75;74;73;66;49
E. Sánchez;18;Mexico;Pachuca;€525K;Right;Centrocampista;28;64;66;66;66;43;42
J. Willock;18;England;Arsenal;€525K;Right;Centrocampista;59;62;68;74;70;55;56
C. Wehan;24;United States;San Jose Earthquakes;€325K;Right;Centrocampista;16;59;67;68;58;49;28
S. Kchouk;24;Tunisia;FC St. Gallen;€280K;Left;Lateral;3;45;75;73;69;61;57
M. Bridge;32;Australia;Western Sydney Wanderers;€200K;Right;Centrocampista;19;60;61;64;70;46;25
Xu Xin;24;China PR;Guangzhou Evergrande Taobao FC;€290K;Right;Centrocampista;4;55;62;69;66;61;55
M. Gallegos;21;Argentina;Unión de Santa Fe;€375K;Right;Delantero;26;52;56;54;57;33;18
P. Kpozo;20;Ghana;Östersunds FK;€300K;Left;Lateral;32;62;77;81;78;52;52
K. Fila;20;Poland;Lechia Gda?sk;€375K;Right;Lateral;19;59;78;79;60;53;60
A. May;24;England;Doncaster Rovers;€325K;Right;Delantero;19;57;85;83;82;70;61
Y. Akgün;17;Turkey;Galatasaray SK;€500K;Left;Delantero;35;65;75;84;75;30;16
F. Buchacher;30;Austria;FC Wacker Innsbruck;€180K;Left;Lateral;19;51;64;67;47;68;62
C. Thompson;24;England;Wycombe Wanderers;€325K;Right;Centrocampista;18;60;86;87;79;77;52
E. Vignato;17;Italy;Chievo Verona;€500K;Right;Centrocampista;55;69;68;55;69;13;11
F. Otárola;32;Argentina;Club Deportes Temuco;€140K;Right;Portero;23;34;34;31;26;40;28
N. Kikuchi;33;Japan;Hokkaido Consadole Sapporo;€100K;Right;Defensa;15;59;53;56;63;44;61
B. Bingham;27;England;Gillingham;€260K;Left;Centrocampista;16;64;70;63;72;48;46
N. Lemus;29;Colombia;Envigado FC;€190K;Right;Lateral;31;51;59;63;56;57;63
J. Aros;22;Chile;Club Deportes Temuco;€350K;Right;Centrocampista;21;53;59;56;57;55;62
A. Sissako;20;France;La Berrichonne de Châteauroux;€550K;Right;Centrocampista;6;63;72;67;63;67;60
F. Sivetti;20;Argentina;Estudiantes de La Plata;€400K;Right;Centrocampista;27;64;67;64;62;63;54
Jorge Mier;19;Spain;Real Oviedo;€475K;Right;Lateral;35;61;75;71;69;52;58
S. Schreck;19;Germany;Bayer 04 Leverkusen;€550K;Right;Centrocampista;30;64;69;66;78;38;33
A. Dursun;19;Turkey;Trabzonspor;€475K;Left;Lateral;98;62;68;67;61;56;54
A. Ciss;18;Senegal;Fortuna Sittard;€525K;Right;Centrocampista;20;66;75;75;73;63;48
F. Al Shammari;37;Saudi Arabia;Al Fayha;€20K;Right;Portero;22;15;31;37;26;27;22
Raúl Vallejo;22;Spain;CD Numancia;€375K;Right;Centrocampista;26;64;69;62;71;49;34
J. Š?uk;27;Bosnia Herzegovina;BB Erzurumspor;€240K;Right;Centrocampista;77;67;62;62;84;44;49
G. Postma;20;Netherlands;FC Groningen;€300K;Left;Centrocampista;13;58;62;61;54;72;63
M. Sejmenovic;32;Bosnia Herzegovina;Neuchâtel Xamax;€140K;Right;Defensa;20;46;51;55;53;59;53
Y. Valery;19;France;Southampton;€425K;Right;Lateral;43;57;76;68;53;62;59
L. Marseiler;21;Germany;SpVgg Unterhaching;€400K;Right;Centrocampista;30;61;76;71;79;46;37
C. Kouan;18;Ivory Coast;Perugia;€525K;Right;Centrocampista;28;65;62;60;66;60;50
J. ?ukowski;22;Poland;Wis?a P?ock;€350K;Right;Centrocampista;96;58;88;84;86;38;62
C. Harries;21;Wales;Swansea City;€500K;Left;Defensa;50;61;53;59;52;50;61
P. Knechtel;22;Germany;FC Energie Cottbus;€400K;Right;Defensa;4;47;65;67;64;68;61
R. Lopes;26;Republic of Ireland;Shamrock Rovers;€270K;Right;Defensa;4;54;44;37;48;67;54
N. Phillips;21;England;Liverpool;€425K;Right;Defensa;47;40;52;52;42;60;58
W. Hesl;32;Germany;1. FC Kaiserslautern;€140K;Left;Portero;13;13;36;40;42;25;19
S. Mohlin;22;Sweden;Malmö FF;€290K;Right;Portero;16;31;43;48;43;24;17
M. Ošs;26;Latvia;Neuchâtel Xamax;€260K;Right;Defensa;25;35;56;61;48;60;57
N. Mohammad;26;Germany;KFC Uerdingen 05;€250K;Right;Centrocampista;14;58;73;69;78;76;57
J. Ruffels;24;England;Oxford United;€270K;Left;Lateral;14;65;54;54;72;53;59
G. Smith;22;United States;Sporting Kansas City;€350K;Right;Defensa;16;55;66;69;52;58;60
S. Bennett;27;England;Newport County;€250K;Right;Defensa;17;49;40;44;42;59;57
D. Frieser;24;Austria;LASK Linz;€325K;Right;Delantero;28;62;74;72;67;56;43
J. Burkardt;17;Germany;1. FSV Mainz 05;€500K;Right;Delantero;29;62;69;69;69;33;22
A. Lupu;20;Romania;Deportivo Alavés;€450K;Right;Delantero;34;55;69;68;54;31;19
Wang Jinxian;22;China PR;Dalian YiFang FC;€325K;Right;Centrocampista;20;64;71;65;81;51;43
A. Maziero;20;Argentina;Rosario Central;€500K;Right;Delantero;23;60;63;69;58;28;24
K. Moreno;17;Colombia;Deportivo Cali;€450K;Right;Defensa;2;39;63;59;46;63;56
Jose;24;Brazil;Daegu FC;€350K;Right;Delantero;10;54;59;57;49;31;16
Eliseo Falcón;21;Spain;Granada CF;€425K;Right;Defensa;32;39;48;51;39;61;61
S. Ramizi;26;Kosovo;Neuchâtel Xamax;€270K;Right;Centrocampista;8;62;65;71;56;42;20
J. Flannigan;22;England;Burton Albion;€325K;Right;Centrocampista;34;64;55;63;64;51;28
H. Ad?güzel;18;Turkey;Akhisar Belediyespor;€525K;Right;Centrocampista;41;64;64;61;73;58;49
S. Strømnes;31;Norway;Stabæk Fotball;€170K;Right;Defensa;5;54;52;62;55;66;62
K. Pestka;19;Poland;Cracovia;€350K;Left;Lateral;33;54;72;71;67;41;59
M. Kolar;23;Croatia;Wis?a Kraków;€350K;Right;Delantero;24;57;67;66;59;34;14
F. Brügmann;25;Germany;FC Carl Zeiss Jena;€325K;Right;Delantero;18;58;64;74;66;47;14
B. Urba?ski;20;Poland;Willem II;€400K;Left;Centrocampista;16;61;61;56;74;66;60
M. Schüler;20;Germany;FC Carl Zeiss Jena;€325K;Left;Defensa;19;36;66;77;55;78;58
P. Erhardt;24;Austria;SV Mattersburg;€270K;Right;Centrocampista;6;65;60;39;64;71;63
V. Sköld;28;Sweden;Örebro SK;€260K;Right;Delantero;9;58;67;64;64;41;31
K. Knoyle;21;England;Swindon Town;€325K;Right;Lateral;2;57;80;86;79;54;54
J. Torres;18;Mexico;Club Atlas;€525K;Right;Centrocampista;20;53;73;77;79;32;13
J. Coustrain;22;Republic of Ireland;Shamrock Rovers;€425K;Left;Centrocampista;17;65;78;81;77;48;39
W. Mosquera;33;Colombia;Jaguares de Córdoba;€130K;Right;Portero;12;20;46;48;33;16;17
M. Chouiar;19;France;Racing Club de Lens;€550K;Right;Centrocampista;35;62;61;69;78;38;18
B. Héry;26;France;Waterford FC;€300K;Right;Centrocampista;21;63;78;69;74;51;47
A. Nilsson;27;Sweden;IF Brommapojkarna;€260K;Right;Centrocampista;22;59;73;72;69;72;43
B. Figueroa;19;Chile;Audax Italiano;€550K;Right;Centrocampista;29;61;71;70;72;40;22
R. de la Rosa;18;Mexico;Pachuca;€525K;Right;Delantero;89;57;69;67;60;32;11
M. Sagnan;19;France;Racing Club de Lens;€500K;Left;Defensa;3;46;53;64;55;59;53
Z. Bakayogo;31;Ivory Coast;Tranmere Rovers;€160K;Left;Lateral;24;61;69;68;71;59;59
N. Barona;20;Colombia;La Equidad;€550K;Right;Centrocampista;25;63;75;79;73;28;17
J. Sierra;21;Chile;Unión Española;€450K;Right;Delantero;11;61;69;66;61;27;14
A. Ryczkowski;21;Poland;Górnik Zabrze;€400K;Right;Centrocampista;45;64;73;75;77;28;19
L. Jonsson;25;Sweden;IK Sirius;€230K;Right;Portero;30;19;36;35;44;24;6
C. Reppesgård;25;Norway;Sandefjord Fotball;€270K;Right;Defensa;4;57;62;64;62;63;58
B. Allain;26;France;Dijon FCO;€210K;Right;Portero;16;23;25;30;30;20;10
M. Uusitalo;21;Finland;HJK Helsinki;€325K;Right;Portero;1;13;33;31;39;15;9
T. Alarcón;18;Chile;CD O'Higgins;€475K;Right;Defensa;2;60;61;63;71;62;65
J. Chianese;28;Australia;Perth Glory;€250K;Right;Centrocampista;7;64;59;69;70;35;38
K. Howkins;22;England;West Bromwich Albion;€280K;Right;Defensa;40;51;65;67;62;54;58
B. Galindo;19;Mexico;Guadalajara;€325K;Right;Defensa;96;37;59;55;35;50;63
A. Zekaj;18;Serbia;LOSC Lille;€475K;Right;Centrocampista;21;56;62;63;57;63;49
T. Vaiho;29;Sweden;Djurgårdens IF;€170K;Right;Portero;30;16;31;32;33;35;21
L. Sotomayor;21;Chile;Deportes Iquique;€350K;Right;Portero;23;17;42;42;33;19;24
B. Kennedy;21;Northern Ireland;Stevenage;€375K;Left;Centrocampista;10;64;72;69;83;76;42
N. Baxter;19;England;Yeovil Town;€325K;Right;Portero;12;31;36;40;28;25;12
E. Rueda;22;Argentina;Argentinos Juniors;€375K;Right;Centrocampista;17;60;74;73;64;38;30
R. Hepburn-Murphy;19;England;Aston Villa;€550K;Right;Delantero;29;60;77;77;65;40;21
K. Gipson;22;Germany;SV Sandhausen;€300K;Right;Lateral;36;55;74;75;69;59;56
I. Hajti?;20;Bosnia Herzegovina;FC Würzburger Kickers;€375K;Right;Defensa;4;38;49;54;50;62;57
J. Vollert;20;Germany;SV Werder Bremen;€375K;Right;Defensa;26;58;55;54;55;60;54
K. Zapolnik;25;Poland;Górnik Zabrze;€325K;Right;Centrocampista;19;60;63;62;68;62;25
G. Gül;19;Germany;Fortuna Düsseldorf;€500K;Right;Defensa;18;52;64;62;67;51;60
S. Klaas;20;Germany;VfL Osnabrück;€550K;Right;Centrocampista;26;64;74;67;71;44;42
C. O'Malley;23;Republic of Ireland;Peterborough United;€260K;Right;Portero;25;17;38;41;45;18;26
F. Al Aiyaf;26;Saudi Arabia;Al Hazem;€290K;Left;Centrocampista;17;64;73;76;82;44;45
L. Mosevich;21;Argentina;FC St. Gallen;€400K;Right;Defensa;5;40;58;49;34;67;56
R. Porteous;19;Scotland;Hibernian;€500K;Right;Defensa;36;37;60;65;41;65;59
H. Mörschel;20;Germany;Holstein Kiel;€450K;Right;Delantero;10;64;63;69;64;30;19
G. Sa?lam;20;Germany;VfL Bochum 1848;€475K;Right;Centrocampista;26;65;76;67;79;39;33
B. Bödvarsson;23;Iceland;Jagiellonia Bia?ystok;€325K;Left;Lateral;19;58;75;73;63;53;55
F. Geisler;21;Germany;FC Energie Cottbus;€400K;Right;Centrocampista;8;64;90;64;91;71;38
G. Omotayo;24;Switzerland;Bury;€325K;Right;Delantero;27;57;67;65;49;72;24
D. Rogers;24;Republic of Ireland;St. Mirren;€280K;Right;Portero;25;27;44;47;37;22;21
A. Zendejas;22;United States;Sporting Kansas City;€300K;Right;Portero;1;22;35;39;37;18;15
T. Chorý;23;Czech Republic;Viktoria Plze?;€350K;Right;Delantero;18;44;45;54;50;53;18
J. Vázquez;23;Argentina;Deportivo Pasto;€350K;Right;Delantero;26;57;76;72;73;37;12
Yun Ju Tae;28;Korea Republic;FC Seoul;€260K;Right;Delantero;77;55;74;79;84;64;23
T. Masuda;29;Japan;V-Varen Nagasaki;€200K;Right;Portero;1;10;17;25;31;19;8
L. Lauberbach;20;Germany;FSV Zwickau;€375K;Right;Delantero;18;59;67;76;63;27;25
Y. Clementia;20;France;OGC Nice;€350K;Right;Portero;16;23;36;37;44;25;10
D. Orlishausen;35;Germany;FC Hansa Rostock;€60K;Right;Portero;28;19;33;32;35;36;13
D. Whitaker;37;England;Macclesfield Town;€80K;Right;Centrocampista;23;65;59;54;74;48;45
A. Khormi;27;Saudi Arabia;Al Hazem;€260K;Right;Centrocampista;99;60;94;86;88;27;11
L. Mari?;31;Croatia;Arka Gdynia;€170K;Right;Defensa;23;58;58;61;51;64;62
F. Benko;20;Germany;LASK Linz;€550K;Left;Centrocampista;10;66;65;62;68;51;53
Liu Zhenli;33;China PR;Shandong Luneng TaiShan FC;€130K;Right;Portero;1;25;54;46;52;29;23
M. Piccinocchi;23;Italy;FC Lugano;€375K;Right;Centrocampista;18;66;62;58;79;68;55
A. Al Harbi;29;Saudi Arabia;Al Hazem;€200K;Left;Defensa;20;50;66;65;57;60;62
Kim Gyeong Min;26;Korea Republic;Jeju United FC;€220K;Right;Portero;1;20;49;49;40;18;23
R. González;22;Chile;San Luis de Quillota;€300K;Right;Centrocampista;27;64;72;78;64;57;52
Song Soo Yeong;26;Korea Republic;Sangju Sangmu FC;€270K;Right;Centrocampista;18;65;73;70;66;56;40
Y. Nakazawa;40;Japan;Yokohama F. Marinos;€ 0;Right;Defensa;22;63;29;30;28;69;61
A. Al Ammar;24;Saudi Arabia;Al Fateh;€290K;Left;Lateral;13;64;71;73;69;38;45
J. Ibehre;35;England;Cambridge United;€120K;Right;Delantero;14;59;62;68;47;60;41
Jeong Dong Yun;24;Korea Republic;Incheon United FC;€280K;Left;Lateral;32;57;66;67;65;48;57
M. Harzan;29;Saudi Arabia;Al Taawoun;€250K;Right;Centrocampista;77;59;75;76;78;56;45
G. Hatano;20;Japan;FC Tokyo;€400K;Right;Portero;50;16;18;32;35;17;8
Li Yuanyi;24;China PR;Tianjin TEDA FC;€325K;Right;Centrocampista;8;60;69;66;72;46;30
M. Dobre;19;Romania;Bournemouth;€550K;Right;Centrocampista;54;62;77;76;78;59;38
N. Fernández;18;Chile;Audax Italiano;€450K;Right;Centrocampista;26;49;70;72;70;53;61
M. López;20;Argentina;Club Atlético Banfield;€450K;Right;Delantero;14;58;60;61;69;40;23
C. Dilo;24;France;Paris FC;€260K;Right;Portero;16;20;43;44;37;21;19
J. Beste;19;Germany;SV Werder Bremen;€475K;Left;Lateral;39;64;69;67;68;47;53
D. Thomas;22;Scotland;Kilmarnock;€375K;Left;Centrocampista;23;57;69;69;79;54;53
E. Edwards Jr.;26;United States;Orlando City SC;€240K;Right;Portero;36;18;40;44;35;18;19
A. Al Jadani;27;Saudi Arabia;Al Wehda;€200K;Right;Portero;33;18;49;50;47;35;18
M. Engelhardt;25;Germany;Eintracht Braunschweig;€240K;Right;Portero;1;19;48;43;39;17;24
C. Yüksel;20;Turkey;Galatasaray SK;€550K;Left;Centrocampista;52;65;68;68;59;65;40
T. Casali;22;Austria;SV Mattersburg;€250K;Right;Portero;13;20;33;25;30;19;9
D. Jaiyesimi;20;England;Yeovil Town;€450K;Right;Delantero;14;58;84;81;72;49;29
Y. Bisseck;17;Germany;1. FC Köln;€500K;Right;Defensa;40;48;62;60;49;45;58
A. Sarr;27;Senegal;Paris FC;€270K;Right;Delantero;29;63;74;73;70;29;23
T. Svendsen;18;Norway;FK Haugesund;€525K;Right;Centrocampista;21;64;83;68;94;72;60
J. Williams;25;England;Rochdale;€325K;Left;Centrocampista;11;60;82;83;65;40;42
B. Risa;20;Norway;Odds BK;€500K;Left;Lateral;9;64;79;77;59;59;57
D. Contreras;24;Colombia;Jaguares de Córdoba;€300K;Right;Centrocampista;6;64;82;73;73;55;58
B. Halliday;22;England;Cambridge United;€325K;Right;Lateral;2;58;74;74;83;60;60
L. Dietz;21;Germany;VfL Sportfreunde Lotte;€400K;Right;Centrocampista;22;57;59;61;54;65;60
N. Al Omran;20;Saudi Arabia;Al Shabab;€375K;Right;Centrocampista;21;57;69;67;84;40;39
Parra;22;Spain;AD Alcorcón;€300K;Right;Lateral;26;49;63;58;59;55;62
R. Taylor;28;Wales;Macclesfield Town;€210K;Right;Portero;12;17;35;40;54;17;22
C. Thomas;24;England;Cheltenham Town;€325K;Right;Centrocampista;7;60;69;71;74;61;60
O. Ómarsson;23;Iceland;Sarpsborg 08 FF;€325K;Right;Defensa;5;54;65;65;69;60;59
S. Kopp;23;Germany; SSV Jahn Regensburg;€325K;Right;Defensa;13;48;53;36;31;57;52
Chen Binbin;20;China PR;Shanghai SIPG FC;€475K;Right;Centrocampista;37;56;80;74;77;42;26
M. Toye;19;United States;Minnesota United FC;€550K;Right;Delantero;23;60;69;76;69;70;19
Cordero;23;Spain;Gimnàstic de Tarragona;€260K;Right;Portero;30;12;17;26;33;26;13
N. Jackson;22;United States;Colorado Rapids;€400K;Right;Delantero;12;55;83;84;68;62;11
B. Källman;19;Finland;Dundee FC;€375K;Right;Delantero;19;55;78;79;72;28;12
L. Cueto;22;Germany;SC Preußen Münster;€375K;Left;Centrocampista;37;63;91;85;85;39;25
Guillamón;18;Spain;Valencia CF;€475K;Right;Defensa;36;58;52;62;51;54;62
P. Camara;25;Senegal;Grenoble Foot 38;€250K;Right;Portero;16;24;44;54;36;24;19
W. Cuesta;25;Colombia;Deportes Tolima;€250K;Right;Portero;1;25;44;49;38;21;23
Campos;23;Spain;CD Numancia;€290K;Right;Portero;30;12;32;48;50;16;7
F. Plach;26;Slovakia;Piast Gliwice;€220K;Right;Portero;26;18;32;23;39;28;8
H. Belal;24;Saudi Arabia;Al Qadisiyah;€280K;Right;Centrocampista;44;56;52;52;48;67;62
D. Foulon;19;Belgium;Waasland-Beveren;€375K;Left;Lateral;28;62;73;67;66;65;55
L. Fritzson;22;Sweden;Östersunds FK;€350K;Right;Centrocampista;13;65;79;67;80;52;43
P. Da Silva;19;United States;Orlando City SC;€550K;Left;Centrocampista;11;64;72;61;81;53;36
K. Skaanes;23;Norway;IK Start;€375K;Right;Centrocampista;19;67;74;75;68;45;33
I. Ugbo;19;England;Scunthorpe United;€550K;Right;Delantero;9;59;80;72;66;60;21
C. Operi;21;France;La Berrichonne de Châteauroux;€425K;Left;Centrocampista;21;67;71;75;56;52;42
C. Köppel;23;Germany;TSV 1860 München;€270K;Left;Lateral;11;59;65;67;66;62;57
C. Dickinson;31;England;Yeovil Town;€160K;Left;Lateral;3;61;45;40;45;81;62
T. Robinet;21;France;FC Sochaux-Montbéliard;€450K;Right;Centrocampista;9;59;70;68;73;41;19
Yeremi Valerón;21;Spain;UD Las Palmas;€350K;Left;Lateral;33;51;67;67;46;49;58
S. Finley;25;England;Accrington Stanley;€325K;Left;Centrocampista;14;60;69;66;67;75;60
A. Bruhn;24;Denmark;Randers FC;€325K;Right;Centrocampista;7;65;67;63;69;40;26
M. Amundsen;20;Denmark;Eintracht Braunschweig;€425K;Left;Lateral;4;61;76;79;65;54;57
T. Vollnhofer;33;Austria;SKN St. Pölten;€130K;Right;Portero;32;25;47;43;31;18;23
N. Atangana;28;France;Cheltenham Town;€250K;Right;Centrocampista;6;61;69;66;67;68;61
D. Tchamba;19;Cameroon;RC Strasbourg Alsace;€425K;Left;Defensa;34;40;76;66;47;51;59
A. Kartalis;23;Greece;FSV Zwickau;€270K;Left;Lateral;22;62;77;75;81;52;51
J. Victoria;22;Colombia;Granada CF;€425K;Right;Delantero;26;58;67;71;62;26;16
E. Orona;19;Mexico;Pachuca;€500K;Right;Defensa;84;54;68;67;59;54;56
K. Yamaguchi;22;Japan;Kashima Antlers;€400K;Right;Delantero;19;60;69;67;66;51;31
Angel Sánchez;20;Spain;RCD Espanyol;€375K;Right;Centrocampista;32;59;70;61;59;29;38
B. Kindsvater;25;Germany;TSV 1860 München;€325K;Left;Centrocampista;16;59;75;77;71;48;21
N. Laursen;20;Denmark;Brøndby IF;€550K;Left;Delantero;18;68;79;78;78;33;24
L. Bolton;18;England;Manchester City;€525K;Right;Centrocampista;74;62;82;78;75;65;59
R. Miller;29;England;Port Vale;€250K;Left;Delantero;10;54;74;78;71;62;37
F. Saavedra;21;Chile;Universidad de Chile;€325K;Left;Lateral;29;63;78;77;74;38;61
J. Lorch;22;Germany;SV Wehen Wiesbaden;€290K;Right;Lateral;24;61;63;66;58;60;59
M. Hosseini;22;Iran;Trabzonspor;€290K;Right;Defensa;5;52;55;54;43;50;62
I. Aguilar;20;Mexico;Club América;€425K;Right;Centrocampista;33;59;64;60;52;67;58
Gorka Giralt;22;Spain;Real Oviedo;€300K;Left;Portero;26;10;36;43;40;19;14
T. Kainz;25;Austria;TSV Hartberg;€260K;Right;Lateral;23;57;68;63;69;51;60
D. Barnes;22;England;Colchester United;€290K;Left;Portero;1;32;59;58;52;30;27
T. Buitink;18;Netherlands;Vitesse;€525K;Right;Delantero;29;68;70;72;56;41;13
H. Eisa;25;Burkina Faso;Ohod Club;€350K;Right;Delantero;23;51;68;68;67;42;22
D. Hyam;22;Scotland;Coventry City;€400K;Right;Defensa;15;42;55;64;59;58;60
T. Denton;22;England;Peterborough United;€325K;Left;Lateral;23;61;78;78;76;54;56
B. Ziegenbein;32;Germany;FC Energie Cottbus;€200K;Right;Centrocampista;36;63;70;78;77;70;41
Adrià Pedrosa;20;Spain;RCD Espanyol;€350K;Left;Lateral;28;63;66;64;69;54;56
A. Stadler;30;United States;Dalkurd FF;€240K;Right;Delantero;13;55;74;74;76;77;18
Li Xiaoming;22;China PR;Shanghai Greenland Shenhua FC;€300K;Right;Defensa;19;56;69;68;66;59;63
R. Muhammed;24;France;Sarpsborg 08 FF;€325K;Right;Delantero;27;58;93;94;77;56;24
M. Al Mania;22;Saudi Arabia;Al Hazem;€425K;Right;Delantero;15;63;80;80;75;33;11
A. López;21;Mexico;Club América;€400K;Left;Centrocampista;23;65;73;62;68;45;47
M. Payares;23;Colombia;Deportivo Pasto;€350K;Right;Defensa;23;29;65;57;45;48;62
F. Sucsuz;22;Turkey;FC Carl Zeiss Jena;€400K;Left;Centrocampista;20;58;78;73;82;48;57
C. Cásseres Jr;18;Venezuela;New York Red Bulls;€525K;Right;Centrocampista;23;67;70;71;72;55;57
K. Etuhu;30;Nigeria;Carlisle United;€230K;Right;Centrocampista;21;60;57;61;32;66;49
A. Al Saleh;28;Saudi Arabia;Ettifaq FC;€180K;Right;Portero;30;17;48;48;32;24;23
